home_score,away_score,home_team_id,away_team_id
2,0,Olympique Marseille,Le Havre
2,0,Nice,Auxerre
1,1,Saint-Etienne,Le Mans
3,0,Tolouse,Nancy
1,2,Nantes,Bordeaux
2,2,Caen,AS Monaco
2,1,PSG,Sochaux
1,0,Lille,Rennes
0,0,Auxerre,Lorient
2,3,Le Havre,Nancy
0,2,Le Mans,Nantes
1,0,AS Monaco,Grenoble Foot 38
2,0,PSG,Caen
1,0,Valenciennes,Nice
0,0,Rennes,Tolouse
2,2,Bordeaux,Lille
1,0,Sochaux,Olympique Marseille
1,1,Olympique Lyonnais,Saint-Etienne
1,0,Le Havre,Rennes
1,1,Lorient,AS Monaco
0,2,Nancy,Auxerre
1,4,Nantes,PSG
3,2,Saint-Etienne,Caen
2,0,Tolouse,Le Mans
3,2,Lille,Sochaux
0,0,Grenoble Foot 38,Valenciennes
1,3,Nice,Olympique Lyonnais
1,0,Olympique Marseille,Bordeaux
2,0,Auxerre,Lille
1,1,Bordeaux,Grenoble Foot 38
1,1,Caen,Lorient
1,2,Le Mans,Nice
1,1,Rennes,Nancy
1,1,Valenciennes,Nantes
2,1,PSG,Saint-Etienne
3,1,Olympique Lyonnais,Le Havre
1,2,Sochaux,Tolouse
0,1,AS Monaco,Olympique Marseille
0,0,Le Mans,Lille
1,2,Nancy,Nice
2,0,Valenciennes,Caen
0,0,Grenoble Foot 38,PSG
1,2,Le Havre,Auxerre
1,2,Lorient,Sochaux
0,2,Nancy,Olympique Lyonnais
1,1,Nantes,Caen
0,0,Tolouse,Valenciennes
0,1,Nice,Rennes
0,0,Olympique Marseille,Le Mans
1,1,Saint-Etienne,Bordeaux
2,1,Lille,AS Monaco
2,0,Le Mans,Le Havre
1,1,Nantes,Grenoble Foot 38
1,0,Sochaux,Nice
2,0,Valenciennes,Lille
1,1,Auxerre,Tolouse
1,0,Bordeaux,Lorient
0,1,Caen,Olympique Marseille
2,2,AS Monaco,Saint-Etienne
4,1,PSG,Nancy
1,1,Olympique Lyonnais,Rennes
2,1,Grenoble Foot 38,Caen
0,1,Lorient,PSG
0,0,Nice,AS Monaco
3,0,Tolouse,Bordeaux
0,0,Olympique Marseille,Valenciennes
2,2,Nancy,Le Mans
2,0,Lille,Olympique Lyonnais
2,1,Le Havre,Sochaux
2,0,Rennes,Auxerre
2,1,Saint-Etienne,Nantes
0,1,Caen,Lille
2,2,Le Mans,Rennes
3,2,AS Monaco,Tolouse
1,1,Nantes,Lorient
2,1,Sochaux,Nancy
3,2,Valenciennes,Le Havre
2,1,Bordeaux,Nice
0,2,Olympique Lyonnais,Auxerre
1,0,Grenoble Foot 38,Saint-Etienne
1,3,PSG,Olympique Marseille
2,1,Lille,Grenoble Foot 38
2,2,Nice,Caen
2,0,Auxerre,Le Mans
0,3,Le Havre,Bordeaux
0,1,Nancy,AS Monaco
0,0,Rennes,Valenciennes
2,0,Olympique Marseille,Nantes
3,1,Lorient,Saint-Etienne
2,0,Olympique Lyonnais,Sochaux
4,1,Tolouse,PSG
1,0,Bordeaux,Nancy
1,3,Grenoble Foot 38,Lorient
1,3,Le Mans,Olympique Lyonnais
0,1,AS Monaco,Le Havre
0,2,Nantes,Lille
2,0,Valenciennes,Auxerre
0,0,Caen,Tolouse
2,1,PSG,Nice
3,0,Sochaux,Rennes
0,3,Saint-Etienne,Olympique Marseille
0,2,Auxerre,Bordeaux
1,2,Le Havre,Caen
2,0,Le Mans,Sochaux
2,0,Nancy,Valenciennes
2,0,Nice,Lorient
1,0,Tolouse,Nantes
1,0,Rennes,Saint-Etienne
4,1,Olympique Marseille,Grenoble Foot 38
0,0,Lille,PSG
2,2,Olympique Lyonnais,AS Monaco
1,2,Caen,Nancy
1,0,Grenoble Foot 38,Tolouse
3,1,AS Monaco,Rennes
2,0,Nantes,Nice
0,1,Sochaux,Auxerre
0,2,Valenciennes,Le Mans
2,1,Saint-Etienne,Lille
1,2,Lorient,Olympique Marseille
3,0,PSG,Le Havre
1,0,Bordeaux,Olympique Lyonnais
0,0,Olympique Lyonnais,PSG
2,1,Auxerre,Caen
0,1,Le Havre,Grenoble Foot 38
0,1,Le Mans,AS Monaco
2,0,Nancy,Nantes
3,1,Nice,Saint-Etienne
1,1,Sochaux,Valenciennes
1,1,Tolouse,Lorient
1,2,Lille,Olympique Marseille
2,3,Rennes,Bordeaux
3,1,Caen,Le Mans
0,0,Grenoble Foot 38,Nice
3,1,Lorient,Lille
0,1,AS Monaco,Auxerre
0,0,Saint-Etienne,Nancy
2,0,Valenciennes,Olympique Lyonnais
2,2,Olympique Marseille,Tolouse
1,2,Nantes,Le Havre
0,1,PSG,Rennes
3,0,Bordeaux,Sochaux
3,0,Olympique Lyonnais,Nantes
2,0,Auxerre,Grenoble Foot 38
2,4,Le Havre,Saint-Etienne
0,1,Le Mans,PSG
2,2,Nancy,Lorient
0,2,Nice,Olympique Marseille
1,0,Rennes,Caen
3,0,Sochaux,AS Monaco
0,0,Tolouse,Lille
1,2,Valenciennes,Bordeaux
3,2,Bordeaux,Le Mans
2,0,Caen,Sochaux
0,0,Grenoble Foot 38,Nancy
1,1,Lorient,Le Havre
1,1,AS Monaco,Valenciennes
2,2,Saint-Etienne,Tolouse
1,2,PSG,Auxerre
1,1,Lille,Nice
1,1,Nantes,Rennes
1,3,Olympique Marseille,Olympique Lyonnais
1,0,Auxerre,Saint-Etienne
1,0,Bordeaux,AS Monaco
0,1,Le Havre,Lille
1,1,Le Mans,Grenoble Foot 38
3,1,Olympique Lyonnais,Caen
1,2,Nancy,Olympique Marseille
0,2,Nice,Tolouse
3,1,Rennes,Lorient
2,1,Sochaux,Nantes
2,1,Valenciennes,PSG
0,1,Caen,Bordeaux
0,1,Grenoble Foot 38,Sochaux
3,2,Lille,Nancy
1,1,Lorient,Le Mans
4,0,Olympique Marseille,Rennes
2,1,Nantes,Auxerre
0,0,Nice,Le Havre
0,0,PSG,AS Monaco
4,0,Saint-Etienne,Valenciennes
0,0,Tolouse,Olympique Lyonnais
0,1,Auxerre,Sochaux
0,2,Grenoble Foot 38,Olympique Marseille
2,2,Le Mans,Olympique Lyonnais
1,0,AS Monaco,Tolouse
1,1,Montpellier,PSG
3,0,Rennes,Boulogne
0,2,Saint-Etienne,Nice
1,3,Valenciennes,Nancy
1,2,Lille,Lorient
4,1,Bordeaux,Lens
2,0,Lens,Auxerre
2,2,Lorient,Montpellier
1,0,Olympique Lyonnais,Valenciennes
4,0,Nancy,AS Monaco
3,1,PSG,Le Mans
2,3,Sochaux,Bordeaux
3,1,Tolouse,Saint-Etienne
2,1,Boulogne,Grenoble Foot 38
1,1,Nice,Rennes
1,0,Olympique Marseille,Lille
0,3,Auxerre,Olympique Lyonnais
2,1,Le Mans,Nancy
2,0,AS Monaco,Lorient
2,0,Montpellier,Sochaux
