home_score,away_score,home_team_id,away_team_id,description
1,2,Torino,Livorno,Torino vs Livorno
5,2,Milan,Napoli,Milan vs Napoli
2,1,Genoa,Atalanta,Genoa vs Atalanta
2,1,Fiorentina,Torino,Fiorentina vs Torino
0,0,Juventus,Sampdoria,Juventus vs Sampdoria
1,0,Livorno,Empoli,Livorno vs Empoli
2,2,Napoli,Lazio,Napoli vs Lazio
2,3,Palermo,Robur Siena,Palermo vs Robur Siena
2,0,Reggina,Cagliari,Reggina vs Cagliari
2,0,Roma,Catania,Roma vs Catania
0,1,Udinese,Milan,Udinese vs Milan
3,2,Internazionale,Parma,Internazionale vs Parma
1,0,Sampdoria,Robur Siena,Sampdoria vs Robur Siena
1,0,Roma,Palermo,Roma vs Palermo
0,2,Empoli,Fiorentina,Empoli vs Fiorentina
2,0,Milan,Genoa,Milan vs Genoa
0,0,Udinese,Internazionale,Udinese vs Internazionale
0,0,Torino,Lazio,Torino vs Lazio
2,1,Cagliari,Napoli,Cagliari vs Napoli
0,0,Catania,Parma,Catania vs Parma
2,2,Atalanta,Reggina,Atalanta vs Reggina
1,3,Livorno,Juventus,Livorno vs Juventus
1,0,Palermo,Livorno,Palermo vs Livorno
3,1,Napoli,Udinese,Napoli vs Udinese
2,3,Parma,Atalanta,Parma vs Atalanta
1,1,Juventus,Cagliari,Juventus vs Cagliari
2,1,Genoa,Catania,Genoa vs Catania
1,0,Internazionale,Empoli,Internazionale vs Empoli
3,0,Robur Siena,Roma,Robur Siena vs Roma
2,1,Lazio,Sampdoria,Lazio vs Sampdoria
1,3,Reggina,Torino,Reggina vs Torino
0,1,Fiorentina,Milan,Fiorentina vs Milan
2,2,Atalanta,Fiorentina,Atalanta vs Fiorentina
2,0,Roma,Reggina,Roma vs Reggina
1,1,Livorno,Genoa,Livorno vs Genoa
1,2,Udinese,Juventus,Udinese vs Juventus
1,0,Empoli,Lazio,Empoli vs Lazio
2,0,Sampdoria,Napoli,Sampdoria vs Napoli
3,1,Torino,Palermo,Torino vs Palermo
1,1,Cagliari,Parma,Cagliari vs Parma
1,0,Milan,Robur Siena,Milan vs Robur Siena
0,2,Catania,Internazionale,Catania vs Internazionale
2,0,Internazionale,Livorno,Internazionale vs Livorno
0,0,Parma,Milan,Parma vs Milan
1,0,Juventus,Roma,Juventus vs Roma
3,0,Lazio,Atalanta,Lazio vs Atalanta
2,1,Palermo,Cagliari,Palermo vs Cagliari
2,1,Fiorentina,Catania,Fiorentina vs Catania
1,3,Napoli,Empoli,Napoli vs Empoli
0,1,Genoa,Sampdoria,Genoa vs Sampdoria
0,0,Robur Siena,Torino,Robur Siena vs Torino
1,3,Reggina,Udinese,Reggina vs Udinese
4,4,Torino,Parma,Torino vs Parma
2,1,Reggina,Juventus,Reggina vs Juventus
2,0,Empoli,Catania,Empoli vs Catania
1,0,Roma,Fiorentina,Roma vs Fiorentina
3,5,Udinese,Genoa,Udinese vs Genoa
1,1,Sampdoria,Internazionale,Sampdoria vs Internazionale
1,0,Cagliari,Lazio,Cagliari vs Lazio
1,2,Livorno,Napoli,Livorno vs Napoli
2,2,Atalanta,Robur Siena,Atalanta vs Robur Siena
2,1,Milan,Palermo,Milan vs Palermo
0,0,Juventus,Torino,Juventus vs Torino
1,0,Robur Siena,Cagliari,Robur Siena vs Cagliari
2,0,Palermo,Empoli,Palermo vs Empoli
1,0,Fiorentina,Livorno,Fiorentina vs Livorno
1,1,Catania,Milan,Catania vs Milan
2,0,Genoa,Napoli,Genoa vs Napoli
1,0,Lazio,Reggina,Lazio vs Reggina
1,1,Internazionale,Roma,Internazionale vs Roma
4,1,Atalanta,Sampdoria,Atalanta vs Sampdoria
2,0,Parma,Udinese,Parma vs Udinese
4,0,Roma,Parma,Roma vs Parma
1,1,Milan,Lazio,Milan vs Lazio
2,0,Udinese,Atalanta,Udinese vs Atalanta
1,0,Livorno,Catania,Livorno vs Catania
2,3,Juventus,Fiorentina,Juventus vs Fiorentina
2,1,Cagliari,Genoa,Cagliari vs Genoa
0,0,Reggina,Palermo,Reggina vs Palermo
0,2,Empoli,Robur Siena,Empoli vs Robur Siena
2,2,Sampdoria,Torino,Sampdoria vs Torino
1,0,Napoli,Internazionale,Napoli vs Internazionale
2,0,Internazionale,Reggina,Internazionale vs Reggina
1,1,Palermo,Udinese,Palermo vs Udinese
1,0,Torino,Atalanta,Torino vs Atalanta
2,1,Catania,Cagliari,Catania vs Cagliari
1,0,Robur Siena,Fiorentina,Robur Siena vs Fiorentina
2,0,Lazio,Livorno,Lazio vs Livorno
1,3,Empoli,Milan,Empoli vs Milan
0,2,Napoli,Roma,Napoli vs Roma
1,2,Parma,Sampdoria,Parma vs Sampdoria
0,2,Genoa,Juventus,Genoa vs Juventus
2,2,Udinese,Lazio,Udinese vs Lazio
2,1,Roma,Milan,Roma vs Milan
3,1,Sampdoria,Catania,Sampdoria vs Catania
4,1,Atalanta,Empoli,Atalanta vs Empoli
3,1,Fiorentina,Genoa,Fiorentina vs Genoa
2,1,Internazionale,Palermo,Internazionale vs Palermo
1,1,Livorno,Parma,Livorno vs Parma
4,0,Reggina,Robur Siena,Reggina vs Robur Siena
3,0,Cagliari,Torino,Cagliari vs Torino
1,0,Juventus,Napoli,Juventus vs Napoli
1,0,Cagliari,Atalanta,Cagliari vs Atalanta
2,0,Napoli,Fiorentina,Napoli vs Fiorentina
1,1,Genoa,Internazionale,Genoa vs Internazionale
0,0,Empoli,Juventus,Empoli vs Juventus
2,1,Parma,Palermo,Parma vs Palermo
1,1,Livorno,Reggina,Livorno vs Reggina
1,2,Milan,Sampdoria,Milan vs Sampdoria
0,0,Catania,Robur Siena,Catania vs Robur Siena
0,1,Torino,Udinese,Torino vs Udinese
3,2,Lazio,Roma,Lazio vs Roma
1,1,Sampdoria,Cagliari,Sampdoria vs Cagliari
0,0,Atalanta,Catania,Atalanta vs Catania
2,1,Roma,Empoli,Roma vs Empoli
2,3,Palermo,Genoa,Palermo vs Genoa
1,0,Fiorentina,Lazio,Fiorentina vs Lazio
2,0,Udinese,Livorno,Udinese vs Livorno
0,1,Torino,Milan,Torino vs Milan
1,1,Reggina,Napoli,Reggina vs Napoli
2,0,Robur Siena,Parma,Robur Siena vs Parma
1,2,Internazionale,Juventus,Internazionale vs Juventus
1,1,Cagliari,Roma,Cagliari vs Roma
1,1,Lazio,Internazionale,Lazio vs Internazionale
1,2,Milan,Atalanta,Milan vs Atalanta
3,1,Udinese,Fiorentina,Udinese vs Fiorentina
2,0,Genoa,Reggina,Genoa vs Reggina
0,2,Empoli,Sampdoria,Empoli vs Sampdoria
0,0,Livorno,Robur Siena,Livorno vs Robur Siena
1,2,Catania,Torino,Catania vs Torino
1,0,Napoli,Palermo,Napoli vs Palermo
3,0,Juventus,Parma,Juventus vs Parma
3,2,Roma,Genoa,Roma vs Genoa
3,1,Milan,Cagliari,Milan vs Cagliari
0,1,Torino,Empoli,Torino vs Empoli
0,2,Atalanta,Internazionale,Atalanta vs Internazionale
2,2,Parma,Lazio,Parma vs Lazio
2,0,Sampdoria,Livorno,Sampdoria vs Livorno
3,0,Catania,Napoli,Catania vs Napoli
2,0,Fiorentina,Reggina,Fiorentina vs Reggina
1,1,Robur Siena,Udinese,Robur Siena vs Udinese
3,2,Palermo,Juventus,Palermo vs Juventus
1,0,Palermo,Catania,Palermo vs Catania
3,2,Juventus,Milan,Juventus vs Milan
2,0,Napoli,Atalanta,Napoli vs Atalanta
1,2,Livorno,Cagliari,Livorno vs Cagliari
1,1,Empoli,Parma,Empoli vs Parma
1,3,Udinese,Roma,Udinese vs Roma
1,0,Reggina,Sampdoria,Reggina vs Sampdoria
1,1,Lazio,Robur Siena,Lazio vs Robur Siena
3,0,Genoa,Torino,Genoa vs Torino
2,0,Internazionale,Fiorentina,Internazionale vs Fiorentina
1,1,Roma,Livorno,Roma vs Livorno
1,0,Fiorentina,Palermo,Fiorentina vs Palermo
2,0,Cagliari,Empoli,Cagliari vs Empoli
0,1,Robur Siena,Genoa,Robur Siena vs Genoa
0,4,Atalanta,Juventus,Atalanta vs Juventus
1,0,Catania,Lazio,Catania vs Lazio
1,2,Parma,Napoli,Parma vs Napoli
5,1,Milan,Reggina,Milan vs Reggina
3,0,Sampdoria,Udinese,Sampdoria vs Udinese
0,1,Torino,Internazionale,Torino vs Internazionale
0,0,Palermo,Atalanta,Palermo vs Atalanta
2,1,Internazionale,Cagliari,Internazionale vs Cagliari
2,1,Udinese,Catania,Udinese vs Catania
0,1,Genoa,Empoli,Genoa vs Empoli
5,2,Juventus,Lazio,Juventus vs Lazio
1,4,Livorno,Milan,Livorno vs Milan
2,1,Reggina,Parma,Reggina vs Parma
2,2,Fiorentina,Sampdoria,Fiorentina vs Sampdoria
0,0,Napoli,Robur Siena,Napoli vs Robur Siena
4,1,Roma,Torino,Roma vs Torino
2,1,Cagliari,Fiorentina,Cagliari vs Fiorentina
1,0,Parma,Genoa,Parma vs Genoa
2,1,Milan,Internazionale,Milan vs Internazionale
1,0,Robur Siena,Juventus,Robur Siena vs Juventus
3,2,Atalanta,Livorno,Atalanta vs Livorno
2,1,Torino,Napoli,Torino vs Napoli
1,2,Lazio,Palermo,Lazio vs Palermo
1,2,Catania,Reggina,Catania vs Reggina
0,3,Sampdoria,Roma,Sampdoria vs Roma
0,1,Empoli,Udinese,Empoli vs Udinese
2,1,Roma,Atalanta,Roma vs Atalanta
0,2,Udinese,Cagliari,Udinese vs Cagliari
1,1,Juventus,Catania,Juventus vs Catania
2,0,Reggina,Empoli,Reggina vs Empoli
0,2,Genoa,Lazio,Genoa vs Lazio
3,1,Napoli,Milan,Napoli vs Milan
3,1,Fiorentina,Parma,Fiorentina vs Parma
0,2,Palermo,Sampdoria,Palermo vs Sampdoria
2,2,Internazionale,Robur Siena,Internazionale vs Robur Siena
0,1,Livorno,Torino,Livorno vs Torino
3,3,Sampdoria,Juventus,Sampdoria vs Juventus
0,1,Torino,Fiorentina,Torino vs Fiorentina
2,0,Atalanta,Genoa,Atalanta vs Genoa
0,2,Parma,Internazionale,Parma vs Internazionale
2,1,Empoli,Livorno,Empoli vs Livorno
2,1,Lazio,Napoli,Lazio vs Napoli
2,2,Robur Siena,Palermo,Robur Siena vs Palermo
2,2,Cagliari,Reggina,Cagliari vs Reggina
1,1,Catania,Roma,Catania vs Roma
4,1,Milan,Udinese,Milan vs Udinese
3,1,Udinese,Palermo,Udinese vs Palermo
1,1,Sampdoria,Internazionale,Sampdoria vs Internazionale
1,0,Atalanta,Robur Siena,Atalanta vs Robur Siena
1,4,Cagliari,Lazio,Cagliari vs Lazio
1,0,Catania,Genoa,Catania vs Genoa
2,1,Chievo,Reggina,Chievo vs Reggina
1,2,Milan,Bologna,Milan vs Bologna
1,1,Roma,Napoli,Roma vs Napoli
3,0,Torino,Lecce,Torino vs Lecce
1,1,Fiorentina,Juventus,Fiorentina vs Juventus
3,1,Palermo,Roma,Palermo vs Roma
2,1,Internazionale,Catania,Internazionale vs Catania
0,1,Bologna,Atalanta,Bologna vs Atalanta
2,0,Genoa,Milan,Genoa vs Milan
2,0,Lazio,Sampdoria,Lazio vs Sampdoria
2,0,Lecce,Chievo,Lecce vs Chievo
2,1,Napoli,Fiorentina,Napoli vs Fiorentina
1,1,Reggina,Torino,Reggina vs Torino
2,0,Robur Siena,Cagliari,Robur Siena vs Cagliari
1,0,Juventus,Udinese,Juventus vs Udinese
1,0,Catania,Atalanta,Catania vs Atalanta
3,0,Roma,Reggina,Roma vs Reggina
0,1,Cagliari,Juventus,Cagliari vs Juventus
1,0,Fiorentina,Bologna,Fiorentina vs Bologna
1,1,Lecce,Robur Siena,Lecce vs Robur Siena
2,1,Palermo,Genoa,Palermo vs Genoa
1,1,Sampdoria,Chievo,Sampdoria vs Chievo
1,3,Torino,Internazionale,Torino vs Internazionale
0,0,Udinese,Napoli,Udinese vs Napoli
4,1,Milan,Lazio,Milan vs Lazio
1,0,Atalanta,Cagliari,Atalanta vs Cagliari
0,3,Bologna,Udinese,Bologna vs Udinese
1,1,Chievo,Torino,Chievo vs Torino
3,1,Genoa,Roma,Genoa vs Roma
1,0,Internazionale,Lecce,Internazionale vs Lecce
1,1,Juventus,Catania,Juventus vs Catania
3,0,Lazio,Fiorentina,Lazio vs Fiorentina
2,1,Napoli,Palermo,Napoli vs Palermo
